trial,lr,batch_size,dropout,weight_decay,optimizer,best_val_acc,test_acc,test_loss,train_time_min,num_params
lr1e-03_do0.3,0.001,64,0.3,0.0001,adam,0.998,0.9085,0.5507610691466253,9.476578652858734,422986
lr1e-03_do0.0,0.001,64,0.0,0.0001,adam,0.9975,0.88375,0.47503935734112746,9.451494634151459,422986
lr1e-03_do0.5,0.001,64,0.5,0.0001,adam,0.9975,0.8635,0.6346536982534453,9.431721131006876,422986
lr1e-02_do0.0,0.01,64,0.0,0.0001,adam,0.9955,0.85975,0.8919646164195874,9.574346097310384,422986
lr1e-04_do0.0,0.0001,64,0.0,0.0001,adam,0.994,0.75175,0.865018029332161,9.428361801306407,422986
lr1e-02_do0.5,0.01,64,0.5,0.0001,adam,0.9895,0.881,0.718703941031592,9.479768900076548,422986
lr1e-04_do0.3,0.0001,64,0.3,0.0001,adam,0.9695,0.7625,0.7397405955195427,9.429748686154683,422986
lr1e-04_do0.5,0.0001,64,0.5,0.0001,adam,0.955,0.868,0.4905064254999161,9.42447680234909,422986
lr1e-02_do0.3,0.01,64,0.3,0.0001,adam,0.95,0.911,0.48560165580499687,9.491507399082185,422986
